Paramètre;Valeur;Unité
Longueur;1.0;m
Largeur;0.05;m
Hauteur;0.1;m
Force;1000.0;N
Matériau;Aluminium 2024-T3;
Module d'Young;73.1;GPa
Limite élastique;320.0;MPa
Masse volumique;2780;kg/m³
Volume;0.005000000000000001;m³
Masse;13.900000000000002;kg
Moment quadratique;4.166666666666668e-06;m⁴
Moment maximal;1000.0;N·m
Contrainte maximale;11.999999999999996;MPa
Flèche maximale;1.0943912448700408;mm
Flèche admissible;4.0;mm
Facteur de sécurité;26.666666666666675;
Facteur de sécurité minimal demandé;2.0;
Résistance respectée;Oui;
Rigidité respectée;Oui;
Conclusion;Dimensionnement validé;

RÉSULTATS DE L'OPTIMISATION;;
Hauteur initiale;100.0;mm
Hauteur optimisée;65.0;mm
Masse initiale;13.9;kg
Masse optimisée;9.03;kg
Contrainte optimisée;28.4;MPa
Flèche optimisée;3.985;mm
Facteur de sécurité optimisé;11.27;
Réduction de masse;4.87;kg
Réduction relative;35.0;%
